Benchmarking with:Timeout 900 seconds 
Model path: ./data/models_nnet/neurify/mnist50.nnet 

Benchmarking with epsilon = 1: 

Final result of input 17: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 18: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 19: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 20: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 21: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 22: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 23: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 24: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 25: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 26: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 27: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 28: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 29: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 30: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 31: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 32: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 33: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 34: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 35: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 36: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 37: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 38: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 39: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 40: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 41: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 42: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
