Benchmarking with:Timeout 1200 seconds 
Model path: ./data/models_nnet/ffnnSIGMOID__PGDK_w_0.1_6_500.nnet 

Benchmarking with epsilon = 0.005: 

Final result of input 41: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 42: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 43: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 44: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 45: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 46: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 47: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 48: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 49: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 50: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 51: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 52: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 53: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 54: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 55: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 56: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 57: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 58: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 59: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 60: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 61: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 62: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 63: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 64: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 65: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 66: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 67: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 68: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 69: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 70: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 71: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 72: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 73: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 74: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 75: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 76: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 77: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 78: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 79: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 80: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 81: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 82: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 83: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 84: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 85: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 86: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 87: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 88: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 89: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 90: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 91: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 92: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 93: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
Final result of input 94: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.11 seconds
