Benchmarking with:Timeout 900 seconds 
Model path: ./data/models_nnet/ffnnTANH__PGDK_w_0.1_6_500.nnet 

Benchmarking with epsilon = 0.005: 

Final result of input 51: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 52: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 53: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 54: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 55: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 56: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.17 seconds
Final result of input 57: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.22 seconds
Final result of input 58: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.19 seconds
Final result of input 59: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.18 seconds
Final result of input 60: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.17 seconds
Final result of input 61: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.18 seconds
Final result of input 62: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.26 seconds
Final result of input 63: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.23 seconds
Final result of input 64: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.17 seconds
Final result of input 65: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.15 seconds
Final result of input 66: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 67: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 68: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.23 seconds
Final result of input 69: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.18 seconds
Final result of input 70: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.24 seconds
Final result of input 71: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 72: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.18 seconds
Final result of input 73: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 74: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 75: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.18 seconds
Final result of input 76: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.18 seconds
Final result of input 77: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.16 seconds
Final result of input 78: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 79: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.15 seconds
Final result of input 80: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.19 seconds
Final result of input 81: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.28 seconds
Final result of input 82: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.21 seconds
Final result of input 83: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 84: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 85: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.25 seconds
Final result of input 86: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.19 seconds
Final result of input 87: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.22 seconds
Final result of input 88: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.26 seconds
Final result of input 89: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.25 seconds
Final result of input 90: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.23 seconds
Final result of input 91: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.21 seconds
Final result of input 92: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.18 seconds
Final result of input 93: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.21 seconds
Final result of input 94: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.15 seconds
Final result of input 95: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 96: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.16 seconds
Final result of input 97: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 98: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 99: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds

Time spent in solver: 20.509197235107422
