Benchmarking with:Timeout 1800 seconds 
Model path: ./data/models_nnet/neurify/mnist512.nnet 

Benchmarking with epsilon = 1: 

Final result of input 0: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.19 seconds
Final result of input 1: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 2: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 3: Status.Safe, branches explored: 209, max depth: 18, time spent: 4.15 seconds
Final result of input 4: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.05 seconds
Final result of input 5: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 6: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 7: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 8: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 9: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 10: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 11: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 12: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 13: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 14: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 15: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 16: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 17: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 18: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 19: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 20: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 21: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 22: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 23: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 24: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 25: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
