Benchmarking with:Timeout 900 seconds 
Model path: ./data/marabou/mnist10x10.nnet 

Benchmarking with epsilon = 1: 

Final result of input 51: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 52: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.11 seconds
Final result of input 53: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 54: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 55: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 56: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 57: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 58: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 59: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 60: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 61: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 62: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 63: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 64: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 65: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 66: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 67: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 68: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 69: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 70: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 71: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 72: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 73: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 74: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 75: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 76: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 77: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 78: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 79: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 80: Status.Safe, branches explored: 17, max depth: 7, time spent: 0.23 seconds
Final result of input 81: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 82: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 83: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 84: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 85: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 86: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 87: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 88: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 89: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 90: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 91: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 92: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 93: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 94: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 95: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 96: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 97: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 98: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 99: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds

Time spent in solver: 32.51117134094238
Total number of images verified as safe: 83
Safe images: [0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 83, 84, 86, 88, 90, 91, 92, 93, 94, 95, 96, 97, 98]
Total number of images verified as unsafe: 17
Unsafe images: [2, 3, 12, 13, 18, 21, 40, 44, 47, 66, 68, 81, 82, 85, 87, 89, 99]
Total number of images timed-out: 0
Timed-out images: []
Total number of images with underflow: 0
Underflow images: []

Benchmarking with epsilon = 2: 

Final result of input 0: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 1: Status.Safe, branches explored: 2211, max depth: 24, time spent: 9.73 seconds
Final result of input 2: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 3: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 4: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 5: Status.Safe, branches explored: 35, max depth: 8, time spent: 0.49 seconds
Final result of input 6: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.13 seconds
Final result of input 7: Status.Safe, branches explored: 43, max depth: 11, time spent: 0.42 seconds
Final result of input 8: Status.Undecided, branches explored: 117752, max depth: 42, time spent: 900.04 seconds
Final result of input 9: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 10: Status.Safe, branches explored: 9, max depth: 3, time spent: 0.17 seconds
Final result of input 11: Status.Safe, branches explored: 5, max depth: 2, time spent: 0.14 seconds
Final result of input 12: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 13: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 14: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 15: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 16: Status.Safe, branches explored: 377, max depth: 17, time spent: 2.51 seconds
Final result of input 17: Status.Safe, branches explored: 121915, max depth: 36, time spent: 598.60 seconds
Final result of input 18: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 19: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 20: Status.Safe, branches explored: 173, max depth: 15, time spent: 1.77 seconds
Final result of input 21: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.07 seconds
Final result of input 22: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 23: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.13 seconds
Final result of input 24: Status.Safe, branches explored: 8305, max depth: 25, time spent: 31.61 seconds
Final result of input 25: Status.Undecided, branches explored: 136008, max depth: 43, time spent: 900.03 seconds
Final result of input 26: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 27: Status.Safe, branches explored: 120361, max depth: 39, time spent: 566.25 seconds
Final result of input 28: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 29: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 30: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 31: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 32: Status.Safe, branches explored: 7, max depth: 2, time spent: 0.14 seconds
Final result of input 33: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 34: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 35: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 36: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 37: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 38: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 39: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 40: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 41: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 42: Status.Undecided, branches explored: 65886, max depth: 56, time spent: 900.10 seconds
Final result of input 43: Status.Safe, branches explored: 347, max depth: 13, time spent: 2.46 seconds
Final result of input 44: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 45: Status.Safe, branches explored: 5, max depth: 2, time spent: 0.15 seconds
Final result of input 46: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 47: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 48: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 49: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 50: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 51: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 52: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 53: Status.Safe, branches explored: 53, max depth: 12, time spent: 0.61 seconds
Final result of input 54: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 55: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 56: Status.Safe, branches explored: 121, max depth: 17, time spent: 1.21 seconds
Final result of input 57: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 58: Status.Safe, branches explored: 12385, max depth: 26, time spent: 47.74 seconds
Final result of input 59: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 60: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
